datetime,bike_count,bike_total_distance,van_count,van_total_distance
2024_03_17_22_51_58_1710712318;19;43304;2;15958
2024_03_17_22_51_59_1710712319;19;42039;2;15724
2024_03_17_22_51_59_1710712319;21;41313;3;19111
2024_03_17_22_55_11_1710712511;20;37957;3;17093
2024_03_17_22_55_12_1710712512;20;43194;3;16942
2024_03_17_22_55_13_1710712513;20;46430;3;18490
2024_03_17_22_55_14_1710712514;20;43625;3;18441
2024_03_17_22_55_14_1710712514;19;42310;2;15963
2024_03_17_22_55_14_1710712514;20;41543;3;15251
2024_03_17_22_55_15_1710712515;19;41778;2;15465
2024_03_17_22_55_16_1710712516;20;44853;3;17990
2024_03_17_22_55_16_1710712516;18;34707;2;15379
2024_03_17_22_55_16_1710712516;20;43471;3;17496
2024_03_17_22_55_18_1710712518;19;49638;3;20622
2024_03_17_22_55_19_1710712519;20;45522;3;17209
2024_03_17_22_55_19_1710712519;19;39581;3;17164
2024_03_17_22_55_20_1710712520;21;41859;3;16562
2024_03_17_22_55_20_1710712520;19;42767;2;16562
2024_03_17_22_55_21_1710712521;19;41654;2;15624
2024_03_17_22_55_21_1710712521;21;50536;3;18724
2024_03_17_22_58_33_1710712713;20;38722;3;13730
2024_03_17_22_58_33_1710712713;20;41016;3;16474
2024_03_17_22_58_34_1710712714;20;45955;3;18530
2024_03_17_22_58_35_1710712715;20;43393;3;15523
2024_03_17_22_58_36_1710712716;19;41814;2;17228
2024_03_17_22_58_36_1710712716;20;42068;3;19319
2024_03_17_22_58_37_1710712717;19;43437;2;18596
2024_03_17_22_58_37_1710712717;20;44267;3;16912
2024_03_17_22_58_38_1710712718;22;48497;3;18630
2024_03_17_22_58_39_1710712719;18;42698;2;16857
2024_03_17_22_58_40_1710712720;20;43435;3;19282
2024_03_17_22_58_41_1710712721;20;44322;3;17572
2024_03_17_22_58_42_1710712722;19;43517;3;16302
2024_03_17_22_58_42_1710712722;20;42196;3;17427
2024_03_17_22_58_43_1710712723;21;41128;3;18557
2024_03_17_22_58_43_1710712723;19;44305;2;18402
2024_03_17_22_58_43_1710712723;19;42125;2;14775
2024_03_17_22_58_44_1710712724;21;43743;3;17766
2024_03_17_23_01_52_1710712912;20;45218;3;18420
2024_03_17_23_01_54_1710712914;20;43766;3;17803
2024_03_17_23_01_55_1710712915;20;39276;3;18183
2024_03_17_23_01_55_1710712915;21;49010;3;18798
2024_03_17_23_01_56_1710712916;20;43208;3;17567
2024_03_17_23_01_56_1710712916;20;44188;3;17666
2024_03_17_23_01_57_1710712917;20;45054;3;18230
2024_03_17_23_01_57_1710712917;20;43051;3;18848
2024_03_17_23_01_58_1710712918;20;44737;3;19275
2024_03_17_23_01_59_1710712919;19;41390;2;16196
2024_03_17_23_01_59_1710712919;18;40083;2;15464
2024_03_17_23_02_00_1710712920;20;46158;3;16158
2024_03_17_23_02_00_1710712920;22;48848;3;19302
2024_03_17_23_02_01_1710712921;20;42857;3;17141
2024_03_17_23_02_01_1710712921;20;47683;3;17042
2024_03_17_23_02_01_1710712921;20;38425;3;16810
2024_03_17_23_02_02_1710712922;19;42729;3;17302
2024_03_17_23_02_03_1710712923;21;42779;3;18810
2024_03_17_23_02_03_1710712923;20;43664;3;18738
2024_03_17_23_02_04_1710712924;19;44457;2;16353
2024_03_17_23_02_04_1710712924;21;39522;3;16187
2024_03_17_23_02_05_1710712925;19;40786;2;17113
2024_03_17_23_05_13_1710713113;20;45114;3;17927
2024_03_17_23_05_14_1710713114;20;44523;3;17524
2024_03_17_23_05_15_1710713115;20;43934;3;16902
2024_03_17_23_05_16_1710713116;20;41378;3;18226
2024_03_17_23_05_17_1710713117;21;41259;3;18181
2024_03_17_23_05_17_1710713117;20;44206;3;16569
2024_03_17_23_05_18_1710713118;20;40933;3;17246
2024_03_17_23_05_18_1710713118;20;48354;3;18879
2024_03_17_23_05_19_1710713119;20;47393;3;18023
2024_03_17_23_05_20_1710713120;20;43027;3;17250
2024_03_17_23_05_20_1710713120;18;39452;2;17103
2024_03_17_23_05_21_1710713121;22;38802;3;17930
2024_03_17_23_05_21_1710713121;20;43820;3;17810
2024_03_17_23_05_21_1710713121;20;44602;3;17042
2024_03_17_23_05_22_1710713122;20;43013;3;16471
2024_03_17_23_05_22_1710713122;20;44070;3;19197
2024_03_17_23_05_23_1710713123;20;42113;3;16133
2024_03_17_23_05_24_1710713124;21;45213;3;18141
2024_03_17_23_05_25_1710713125;19;41070;2;17020
2024_03_17_23_05_25_1710713125;21;42644;3;20442
2024_03_17_23_05_25_1710713125;19;42207;2;15423
2024_03_17_23_08_34_1710713314;20;43791;3;15417
2024_03_17_23_08_35_1710713315;20;41353;3;14676
2024_03_17_23_08_37_1710713317;20;43155;3;17427
2024_03_17_23_08_38_1710713318;20;43834;3;16108
2024_03_17_23_08_38_1710713318;20;44067;3;17354
2024_03_17_23_08_38_1710713318;21;41488;3;15632
2024_03_17_23_08_39_1710713319;20;44104;3;17626
2024_03_17_23_08_39_1710713319;20;39938;3;17378
2024_03_17_23_08_40_1710713320;20;44562;3;16659
2024_03_17_23_08_40_1710713320;20;43795;3;18107
2024_03_17_23_08_41_1710713321;20;45557;3;19210
2024_03_17_23_08_42_1710713322;20;42028;3;17128
2024_03_17_23_08_42_1710713322;22;44705;3;18723
2024_03_17_23_08_43_1710713323;20;43290;3;16386
2024_03_17_23_08_44_1710713324;20;48275;3;18178
2024_03_17_23_08_44_1710713324;20;43385;3;17637
2024_03_17_23_08_44_1710713324;20;39119;3;15412
2024_03_17_23_08_45_1710713325;21;45687;3;19019
2024_03_17_23_11_56_1710713516;20;43926;3;17961
2024_03_17_23_11_59_1710713519;20;45096;3;19580
2024_03_17_23_11_59_1710713519;20;47283;3;18045
2024_03_17_23_11_59_1710713519;20;35510;3;17152
2024_03_17_23_12_00_1710713520;20;45975;3;19749
2024_03_17_23_12_00_1710713520;21;42314;3;17413
2024_03_17_23_12_01_1710713521;20;41191;3;15445
2024_03_17_23_12_01_1710713521;20;39724;3;16137
2024_03_17_23_12_02_1710713522;20;41680;3;17389
2024_03_17_23_12_02_1710713522;19;42701;2;14428
2024_03_17_23_12_02_1710713522;20;41081;3;15894
2024_03_17_23_12_03_1710713523;20;43266;3;18626
2024_03_17_23_12_04_1710713524;22;45876;3;18646
2024_03_17_23_12_04_1710713524;20;39890;3;17406
2024_03_17_23_12_05_1710713525;20;46213;3;17062
2024_03_17_23_12_05_1710713525;20;41183;3;18970
2024_03_17_23_15_16_1710713716;21;49210;3;18858
2024_03_17_23_15_17_1710713717;20;37763;3;15976
2024_03_17_23_15_20_1710713720;20;46251;3;16555
2024_03_17_23_15_20_1710713720;20;39105;3;16207
2024_03_17_23_15_21_1710713721;20;40909;3;17572
2024_03_17_23_15_21_1710713721;20;47844;3;17997
2024_03_17_23_15_22_1710713722;21;39140;3;16291
2024_03_17_23_15_22_1710713722;20;41773;3;16834
2024_03_17_23_15_23_1710713723;20;41572;3;15225
2024_03_17_23_15_23_1710713723;20;44858;3;19232
2024_03_17_23_15_23_1710713723;21;48620;3;17527
2024_03_17_23_15_24_1710713724;20;44578;3;18461
2024_03_17_23_18_37_1710713917;21;39098;3;18107
2024_03_17_23_18_37_1710713917;20;44442;3;16128
2024_03_17_23_18_40_1710713920;20;43197;3;18895
2024_03_17_23_18_41_1710713921;20;37810;3;16099
2024_03_17_23_18_42_1710713922;21;41731;3;16568
2024_03_17_23_18_43_1710713923;20;44235;3;16600
2024_03_17_23_18_43_1710713923;20;42845;3;15371
2024_03_17_23_18_44_1710713924;21;41376;3;18046
2024_03_17_23_21_58_1710714118;21;35817;3;15618
2024_03_17_23_21_58_1710714118;20;44483;3;17009
2024_03_17_23_22_02_1710714122;21;47345;3;17197
2024_03_17_23_22_05_1710714125;21;42318;3;17383
2024_03_17_23_25_19_1710714319;21;43173;3;18734
2024_03_17_23_25_23_1710714323;21;35071;3;16082
