218	Saracibar Interiores SL	P	-2.673104	42.84332
219	Abogados Negligencias Médicas	W	-2.673182	42.84337
220	Mercado "Florida"	S	-2.673269	42.843345
221	Fincas 20 20	W	-2.673375	42.843363
222	Supermercados Coviran	S	-2.673542	42.843394
223	Zeeclo Vitoria	P	-2.6738	42.843432
224	Hotel Hito	H	-2.67395	42.843451
225	Cafetería The New Classic	R	-2.67401	42.84346
226	Perodri Joyeros	P	-2.672392	42.843286
227	Boutique Carola Choni Rodrigo	P	-2.672269	42.843195
228	KA International	P	-2.672147	42.843175
229	Casa del Libro	P	-2.672009	42.843263
230	Novias Por Siempre Jamás Vitoria	P	-2.671798	42.84314
231	Pensión Araba en Vitoria	H	-2.671567	42.843131
232	Clínicas Vivanta	W	-2.671572	42.84308
233	Apuestas Deportivas RETABet Florida	W	-2.671405	42.843053
234	Bikiak Tapas	R	-2.67118	42.843074
235	Florida Guridi	W	-2.671108	42.843091
236	Goiko	R	-2.670664	42.843284
237	Mesón Restaurante	R	-2.670448	42.843268
238	Fincas Uleta	W	-2.670473	42.843346
239	Joyería Eguzkilore Vitoria	P	-2.670144	42.843363
240	Sunset Deluxe"	R	-2.670188	42.843472
241	Centro Auditivo Aural - Audífonos Widex	P	-2.670108	42.843528
242	Clínica dental Ayerdi	P	-2.670149	42.843587
243	Estibaliz Inmobiliaria	W	-2.670081	42.843625
244	Bide Bidean	S	-2.670119	42.843671
245	CaixaBank Banca Privada	W	-2.670078	42.843817
246	Muy Mucho	P	-2.670356	42.843812
247	instituto foral de bienestar social	W	-2.670425	42.843875
248	GAES una marca amplifon	P	-2.670813	42.843835
249	Camerino Vitoria	R	-2.670883	42.843902
250	Don G	R	-2.670965	42.843912
251	Florida zinemak	W	-2.671017	42.843838
252	Burgrito’s	R	-2.671043	42.843922
253	El Donga	R	-2.671131	42.843929
254	Delegación Territorial De Educación	W	-2.671409	42.843887
255	Eusko Jaurlaritza - Hezkuntza ordezkaritza	W	-2.671542	42.843935
256	BE BEAUTY PELUQUEROS	W	-2.671787	42.843961
257	Joyería "Mercado de la Plata"	P	-2.671855	42.843983
