datetime;bike_count;bike_total_distance;van_count;van_total_distance
2024_03_18_12_19_30_1710760770;20;44155;3;16238
2024_03_18_12_19_30_1710760770;20;41683;3;16336
2024_03_18_12_22_39_1710760959;20;42205;3;18202
2024_03_18_12_22_40_1710760960;21;42973;3;16149
2024_03_18_12_22_41_1710760961;20;40679;3;16086
2024_03_18_12_22_42_1710760962;22;42430;3;16708
2024_03_18_12_22_42_1710760962;21;40867;3;17748
2024_03_18_12_22_43_1710760963;20;39777;3;17728
2024_03_18_12_22_44_1710760964;20;45630;3;18706
2024_03_18_12_22_45_1710760965;19;39485;2;16192
2024_03_18_12_22_45_1710760965;19;36952;2;14667
2024_03_18_12_22_46_1710760966;20;37576;3;16154
2024_03_18_12_22_46_1710760966;20;42444;3;17385
2024_03_18_12_22_46_1710760966;19;42146;2;14107
2024_03_18_12_22_47_1710760967;20;40336;2;16014
2024_03_18_12_22_47_1710760967;20;44429;3;17981
2024_03_18_12_22_48_1710760968;20;43477;3;16259
2024_03_18_12_22_49_1710760969;20;39453;3;17265
2024_03_18_12_22_49_1710760969;21;45521;3;18030
2024_03_18_12_22_49_1710760969;21;41925;3;16083
2024_03_18_12_26_01_1710761161;20;40124;3;16394
2024_03_18_12_26_02_1710761162;21;40666;3;16553
2024_03_18_12_26_02_1710761162;20;43383;3;17143
2024_03_18_12_26_03_1710761163;21;42007;3;18037
2024_03_18_12_26_04_1710761164;22;46544;3;18785
2024_03_18_12_26_04_1710761164;21;42977;3;16430
2024_03_18_12_26_05_1710761165;20;40850;3;16299
2024_03_18_12_26_05_1710761165;20;43578;3;19779
2024_03_18_12_26_06_1710761166;19;45152;2;16102
2024_03_18_12_26_06_1710761166;19;41307;2;15531
2024_03_18_12_26_07_1710761167;20;42675;3;17786
2024_03_18_12_26_07_1710761167;20;42509;3;16111
2024_03_18_12_26_08_1710761168;19;42782;2;14426
2024_03_18_12_26_08_1710761168;20;39133;2;15168
2024_03_18_12_26_09_1710761169;20;42018;3;17140
2024_03_18_12_26_09_1710761169;20;43179;3;17580
2024_03_18_12_26_10_1710761170;21;47722;3;19321
2024_03_18_12_29_22_1710761362;20;40633;3;17461
2024_03_18_12_29_24_1710761364;21;37759;3;16852
2024_03_18_12_29_25_1710761365;21;41805;3;16753
2024_03_18_12_29_25_1710761365;20;45010;3;19487
2024_03_18_12_29_26_1710761366;22;38654;3;15328
2024_03_18_12_29_26_1710761366;21;39671;3;16079
2024_03_18_12_29_27_1710761367;20;42585;3;16732
2024_03_18_12_29_27_1710761367;20;42268;3;18661
2024_03_18_12_29_27_1710761367;19;41587;2;16030
2024_03_18_12_29_28_1710761368;19;40455;2;15776
2024_03_18_12_29_28_1710761368;20;38337;3;15896
2024_03_18_12_29_29_1710761369;20;43125;3;16219
2024_03_18_12_29_30_1710761370;21;47242;3;17948
2024_03_18_12_29_31_1710761371;21;40964;3;16203
2024_03_18_12_32_43_1710761563;20;43526;3;17946
2024_03_18_12_32_44_1710761564;21;44292;3;17698
2024_03_18_12_32_46_1710761566;21;43119;3;18900
2024_03_18_12_32_46_1710761566;20;45153;3;17408
2024_03_18_12_32_46_1710761566;22;42686;3;18189
2024_03_18_12_32_47_1710761567;21;41478;3;16376
2024_03_18_12_32_48_1710761568;20;40030;3;17112
2024_03_18_12_32_51_1710761571;21;42891;3;17061
2024_03_18_12_36_04_1710761764;20;38411;3;15837
2024_03_18_12_36_05_1710761765;21;43252;3;16610
2024_03_18_12_36_06_1710761766;21;42476;3;16032
2024_03_18_12_36_07_1710761767;20;41273;3;15343
2024_03_18_12_36_08_1710761768;22;40934;3;17405
